,sample size,1d - MKT,10d - MKT,30d - MKT,60d - MKT,90d - MKT,120d - MKT,1d - IDT,10d - IDT,30d - IDT,60d - IDT,90d - IDT,120d - IDT
0,4.0,-0.0030 (30.32%),-0.0159 (35.74%),-0.0094 (61.99%),0.0395 (40.40%),0.0636 (4.98%),0.0346 (14.88%),-0.0016 (40.85%),-0.0047 (27.28%),-0.0095 (38.46%),-0.0104 (26.94%),-0.0029 (76.89%),-0.0133 (15.08%)
1,58.0,-0.0060 (49.26%),-0.0090 (59.40%),-0.0221 (33.29%),-0.0402 (20.19%),-0.0363 (29.64%),-0.0306 (41.73%),-0.0081 (31.68%),-0.0031 (83.35%),-0.0147 (44.83%),-0.0153 (57.15%),-0.0135 (66.12%),-0.0046 (89.11%)
2,41.0,-0.0052 (31.33%),-0.0075 (46.42%),0.0104 (56.51%),0.0123 (56.44%),-0.0045 (88.05%),-0.0051 (87.98%),-0.0041 (44.30%),0.0020 (83.92%),0.0258 (13.95%),0.0423 (4.84%),0.0461 (10.43%),0.0494 (13.79%)
3,6.0,-0.0125 (12.90%),-0.0212 (10.79%),-0.0023 (95.11%),-0.0238 (61.92%),-0.0022 (96.52%),-0.0173 (84.01%),0.0028 (72.34%),-0.0152 (10.70%),-0.0195 (50.51%),-0.0294 (57.20%),-0.0120 (82.71%),-0.0291 (67.38%)
4,247.0,0.0008 (58.50%),0.0013 (73.88%),-0.0073 (19.50%),-0.0062 (43.31%),-0.0033 (74.81%),-0.0101 (46.86%),0.0008 (55.79%),0.0013 (73.79%),-0.0065 (24.04%),-0.0039 (61.20%),-0.0001 (98.87%),-0.0044 (74.71%)
5,27.0,0.0075 (10.66%),0.0160 (9.13%),0.0220 (32.38%),0.0061 (84.05%),0.0107 (75.54%),0.0149 (67.22%),0.0086 (8.16%),0.0203 (3.37%),0.0330 (11.89%),0.0271 (36.47%),0.0381 (27.01%),0.0550 (11.35%)
6,26.0,-0.0043 (64.38%),0.0142 (30.23%),-0.0013 (95.18%),-0.0275 (33.82%),-0.0550 (9.58%),-0.0386 (31.18%),-0.0046 (64.61%),0.0157 (26.35%),0.0034 (85.88%),-0.0195 (46.30%),-0.0497 (13.30%),-0.0453 (21.36%)
7,25.0,-0.0068 (10.92%),-0.0072 (59.50%),-0.0223 (12.23%),-0.0386 (3.22%),-0.0322 (21.56%),-0.0271 (31.17%),-0.0063 (11.73%),-0.0070 (55.15%),-0.0264 (6.33%),-0.0228 (23.12%),-0.0234 (37.39%),-0.0122 (65.04%)
8,123.0,0.0008 (74.14%),-0.0026 (61.73%),0.0077 (29.87%),0.0073 (52.10%),-0.0099 (48.50%),-0.0031 (85.14%),0.0009 (68.77%),0.0004 (92.46%),0.0038 (58.12%),-0.0016 (87.94%),-0.0152 (28.33%),-0.0071 (66.19%)
9,85.0,-0.0014 (46.20%),-0.0062 (17.91%),-0.0149 (3.74%),-0.0040 (70.58%),0.0018 (88.04%),0.0116 (46.50%),-0.0036 (5.13%),-0.0094 (2.83%),-0.0148 (3.28%),-0.0124 (24.70%),-0.0214 (7.08%),-0.0316 (3.89%)
10,14.0,0.0048 (32.79%),-0.0365 (8.16%),-0.0484 (10.50%),-0.0964 (4.44%),-0.0559 (16.70%),-0.0225 (58.19%),0.0058 (24.17%),-0.0334 (7.38%),-0.0588 (5.00%),-0.0914 (5.60%),-0.0635 (10.38%),-0.0300 (46.83%)
11,25.0,-0.0027 (39.64%),-0.0103 (18.78%),-0.0201 (6.94%),-0.0238 (27.23%),-0.0373 (19.46%),-0.0593 (14.73%),0.0009 (80.69%),-0.0091 (20.71%),-0.0237 (2.42%),-0.0322 (13.88%),-0.0570 (5.03%),-0.0847 (4.44%)
13,14.0,-0.0009 (80.24%),0.0105 (39.08%),0.0303 (15.18%),0.0015 (87.23%),-0.0090 (66.88%),-0.0377 (29.87%),-0.0007 (85.22%),0.0049 (62.82%),0.0330 (14.21%),-0.0002 (98.98%),-0.0072 (69.85%),-0.0256 (47.63%)
14,1.0,0.0104 (nan%),-0.0136 (nan%),-0.1211 (nan%),-0.0123 (nan%),0.0476 (nan%),0.0584 (nan%),0.0017 (nan%),-0.0391 (nan%),-0.1556 (nan%),-0.0724 (nan%),-0.0029 (nan%),0.0116 (nan%)
15,2.0,-0.0174 (63.55%),-0.0305 (78.55%),-0.0739 (39.11%),-0.0344 (1.69%),-0.0129 (93.01%),0.0069 (97.61%),-0.0121 (69.54%),-0.0121 (89.88%),-0.0172 (38.76%),0.0346 (39.47%),0.0369 (75.04%),0.0989 (69.67%)
16,11.0,0.0045 (55.43%),-0.0502 (6.37%),-0.0559 (15.35%),-0.0883 (9.96%),-0.1171 (8.11%),-0.0958 (20.31%),0.0056 (57.25%),-0.0447 (8.31%),-0.0684 (7.51%),-0.1234 (4.62%),-0.1865 (0.51%),-0.1950 (1.17%)
17,57.0,0.0117 (18.82%),-0.0043 (59.56%),0.0009 (94.61%),0.0233 (14.95%),0.0279 (12.07%),0.0485 (2.78%),0.0120 (18.56%),-0.0032 (66.30%),-0.0002 (98.53%),0.0204 (19.56%),0.0170 (34.76%),0.0067 (77.22%)
Total,766.0,0.02% (89.62%),-0.32% (18.77%),-0.6% (8.84%),-0.78% (11.17%),-0.97% (10.17%),-0.74% (30.65%),0.02% (86.68%),-0.16% (47.01%),-0.51% (12.23%),-0.55% (23.88%),-0.91% (11.33%),-0.99% (16.16%)
