1657197,1669600,19411,1428875,1546640,1062047,1585790,1552033,1324424,1082754,1395942,1024657,1060391
,,2014-04-01,2019-05-01,2016-04-01,2018-06-28,2019-07-18,2016-05-04,2017-06-16,2015-11-23,2017-06-05,2016-06-21,2018-06-11
,,2013-10-01,2018-12-11,2016-02-16,2014-01-07,2019-05-08,2015-12-15,2016-09-21,2011-06-30,2017-05-31,2015-11-24,2018-05-14
,,2008-02-25,2018-10-01,2012-09-17,2014-01-07,2017-06-19,2015-07-02,2016-02-10,2011-05-27,2016-03-09,2014-07-03,2014-05-08
,,,2018-04-27,2012-09-17,2012-03-27,2016-11-14,2015-06-29,2015-05-22,,2014-03-12,2014-01-27,2012-05-17
,,,2015-04-29,,2011-05-02,2016-08-05,,2015-02-13,,2013-12-17,2013-02-21,2012-05-08
,,,,,2010-03-09,2016-02-01,,2014-06-20,,2011-05-17,2012-08-16,2011-07-29
,,,,,2006-03-31,,,2011-12-12,,,2010-10-06,2011-05-12
,,,,,2005-11-21,,,2010-02-11,,,2009-11-06,2010-06-28
,,,,,,,,2005-08-15,,,,2010-02-12
,,,,,,,,,,,,2008-12-10
